area,sub_area,project,status,url,coordinates,developer,architectural_consultant,masterplanning_consultant,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,date_launched,revised_estimated_handover_date,estimated_handover_date,construction_started,caption,photo_url
Dubai Creek Harbour,Creek Island,Address Harbour Point,Under development,https://propsearch.ae/dubai/address-harbour-point,"25°12 32.8""N 55°20 36.9""E",Emaar Hospitality Group,KEO International Consultants,,Multi-building complex,Creek Island,Under development,,,,,April 2017,April 2022,,,update January 2021,https://static.propsearch.ae/dubai-locations/address-harbour-point-26619_xl.jpg
Dubai Creek Harbour,Creek Island,The Grand at Dubai Creek Harbour,Under development,https://propsearch.ae/dubai/the-grand-at-dubai-creek-harbour,"25°12 26.5""N 55°20 33.5""E",Emaar Properties,,,Residential building,Creek Island,Under development,62,Skyscraper,500,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsPenthousesVillas,March 2018,,,,update January 2021,https://static.propsearch.ae/dubai-locations/the-grand-at-dubai-creek-harbour-26780_xl.jpg
Dubai Creek Harbour,Creek Island,The Cove,Under development,https://propsearch.ae/dubai/the-cove,"25°12 5.1""N 55°20 38.5""E",Emaar Properties,Holfords Associates,,Multi-building complex,Creek Island,Under development,,,,,November 2016,June 2020,March 2020,2018,update January 2021,https://static.propsearch.ae/dubai-locations/the-cove-26638_xl.jpg
Dubai Creek Harbour,Creek Beach,Surf at Creek Beach,Under development,https://propsearch.ae/dubai/surf-at-creek-beach,"25°12 8.1""N 55°20 58.5""E",Emaar Properties,,,Multi-building complex,Creek Beach,Under development,,,,,June 2019,,October 2022,,,
Dubai Creek Harbour,Creek Beach,Sunset at Creek Beach,Under development,https://propsearch.ae/dubai/sunset-at-creek-beach,"25°12 7.5""N 55°20 55.2""E",Emaar Properties,,,Multi-building complex,Creek Beach,Under development,,,,,November 2018,,December 2021,,,
Dubai Creek Harbour,Creek Beach,Summer at Creek Beach,Under development,https://propsearch.ae/dubai/summer-at-creek-beach,"25°12 5.2""N 55°20 58.5""E",Emaar Properties,,,Multi-building complex,Creek Beach,Under development,,,,,April 2019,,August 2022,,,
Dubai Creek Harbour,Creek Island,Palace Residences,Under development,https://propsearch.ae/dubai/palace-residences,"25°12 14.3""N 55°20 49.6""E",Emaar Properties,,,Multi-building complex,Creek Island,Under development,,,,,January 2019,,December 2022,,,
Dubai Creek Harbour,Creek Island,Harbour Views,Under development,https://propsearch.ae/dubai/harbour-views,"25°12 19.9""N 55°20 42.4""E",Emaar Properties,WS Atkins & Partners,,Multi-building complex,Creek Island,Under development,,,750,,January 2016,April 2020,October 2019,,update January 2021,https://static.propsearch.ae/dubai-locations/harbour-views-26807_xl.jpg
Dubai Creek Harbour,Creek Island,Harbour Gate,Under development,https://propsearch.ae/dubai/harbour-gate,"25°12 27.8""N 55°20 49.8""E",Emaar Properties,SSH,,Multi-building complex,Creek Island,Under development,,,,,February 2017,,Q2 2020,,update January 2021,https://static.propsearch.ae/dubai-locations/harbour-gate-26804_xl.jpg
Dubai Creek Harbour,Creek Beach,Vida Residences Creek Beach,Under development,https://propsearch.ae/dubai/vida-residences-creek-beach,"25°12 10.1""N 55°20 57""E",Emaar Properties,,,Residential building,Creek Beach,Under development,33,Skyscraper,,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,December 2019,,December 2022,,,
Dubai Creek Harbour,Creek Island,Dubai Creek Gate,Under development,https://propsearch.ae/dubai/dubai-creek-gate,"25°12 21.2""N 55°20 48.3""E",Emaar Properties,,,Multi-building complex,Creek Island,Under development,,,,,January 2017,,Q3 2020,,update January 2021,https://static.propsearch.ae/dubai-locations/dubai-creek-gate-26800_xl.jpg
Dubai Creek Harbour,Creek Island,Creekside 18,Under development,https://propsearch.ae/dubai/creekside-18,"25°12 14.4""N 55°20 41.1""E",Emaar Properties,,,Multi-building complex,Creek Island,Under development,,,434,,September 2015,May 2020,July 2019,2015,update January 2021,https://static.propsearch.ae/dubai-locations/creekside-18-26641_xl.jpg
Dubai Creek Harbour,Creek Island,Creek Rise,Under development,https://propsearch.ae/dubai/creek-rise,"25°12 31.2""N 55°20 45.1""E",Emaar Properties,DAR Consult,,Multi-building complex,Creek Island,Under development,,,,,June 2017,,August 2020,,update January 2021,https://static.propsearch.ae/dubai-locations/creek-rise-26799_xl.jpg
Dubai Creek Harbour,Creek Island,Creek Edge,Under development,https://propsearch.ae/dubai/creek-edge,"25°12 36.1""N 55°20 43.5""E",Emaar Properties,,,Multi-building complex,Creek Island,Under development,,,560,,April 2019,,November 2022,,,
Dubai Creek Harbour,Creek Beach,Breeze at Creek Beach,Under development,https://propsearch.ae/dubai/breeze-at-creek-beach,"25°12 5.1""N 55°20 53.2""E",Emaar Properties,,SSH,Multi-building complex,Creek Beach,Under development,,,500,,,,December 2021,,,
Dubai Creek Harbour,Creek Beach,Bayshore at Creek Beach,Under development,https://propsearch.ae/dubai/bayshore-at-creek-beach,"25°12 3""N 55°20 56""E",Emaar Properties,,,Multi-building complex,Creek Beach,Under development,,,,,February 2019,,April 2022,,,
Dubai Creek Harbour,Creek Island,17 Icon Bay,Under development,https://propsearch.ae/dubai/17-icon-bay,"25°12 12.1""N 55°20 43.8""E",Emaar Properties,,,Residential building,Creek Island,Under development,41,Skyscraper,300,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,August 2017,,May 2021,,update January 2021,https://static.propsearch.ae/dubai-locations/17-icon-bay-26637_xl.jpg
