area,sub_area,project,status,url,coordinates,developer,architectural_consultant,engineering_consultant,location_type,area_propsearch,phase,status,floors,building_type,date_launched,estimated_handover_date,construction_started,caption,photo_url
Business Bay,Business Bay,Omniyat Sky Palaces,Under development (Cancelled),https://propsearch.ae/dubai/omniyat-sky-palaces,"25°11 16""N 55°17 17""E",Omniyat Properties,Brewer Smith Brewer Group,,Residential building,Business Bay,Under development,Cancelled,32,Skyscraper,2008,,,,
Business Bay,Business Bay,La Residence At The Lotus,Under development (Cancelled),https://propsearch.ae/dubai/la-residence-at-the-lotus,"25°11 9""N 55°17 29.8""E",Damac Properties,,,Multi-building complex,Business Bay,Under development,Cancelled,,,,,,,
Business Bay,Business Bay,Oval Tower,Under development (Cancelled),https://propsearch.ae/dubai/oval-tower,"25°10 38.6""N 55°16 28.3""E",,WS Atkins & Partners,,Office building,Business Bay,Under development,Cancelled,24,High-rise building,,2011,2008,update April 2016,https://static.propsearch.ae/photos/dubai/buildings/the-oval-tower-5829_xl.jpg
Business Bay,Business Bay,Silver Star Tower,Under development (Cancelled),https://propsearch.ae/dubai/silver-star-tower,"25°11 7""N 55°16 34.6""E",Trend Capital AG,Archgroup Consultants,,Mixed-use building,Business Bay,Under development,Cancelled,40,Skyscraper,,,2007,,
Business Bay,Business Bay,Starhill Towers & Gallery,Under development (Cancelled),https://propsearch.ae/dubai/starhill-towers-gallery,"25°11 0.2""N 55°15 46.6""E",ETA Star,,,Multi-building complex,Business Bay,Under development,Cancelled,,,2007,,,,
Business Bay,Business Bay,The Forum,Under development (Cancelled),https://propsearch.ae/dubai/the-forum,"25°11 12.1""N 55°15 57.9""E",Tanmiyat Global,,,Office building,Business Bay,Under development,Cancelled,35,Skyscraper,2006,2008,2006,update September 2017,https://static.propsearch.ae/photos/dubai/buildings/the-forum-10804_xl.jpg
Business Bay,Business Bay,The Bay Residences,Under development (Cancelled),https://propsearch.ae/dubai/the-bay-residences,"25°10 59.4""N 55°16 59.3""E",Dheeraj & East Coast LLC,,,Residential building,Business Bay,Under development,Cancelled,20,High-rise building,,,2007,"The Bay Residences, December 2015.",https://static.propsearch.ae/photos/dubai/buildings/the-bay-residences-1346_xl.jpg
Business Bay,Business Bay,Synergy,Under development (Cancelled),https://propsearch.ae/dubai/synergy,,,Sanjay Puri Architects,,Office building,Business Bay,Under development,Cancelled,20,High-rise building,,,,,
Business Bay,Business Bay,Hydra Towers,Under development (Cancelled),https://propsearch.ae/dubai/hydra-towers,"25°11 19.6""N 55°16 13""E",,,,Building,Business Bay,Under development,Cancelled,,,,,2009,"Hydra Towers, April 2015.",https://static.propsearch.ae/photos/dubai/buildings/hydra-towers-2332_xl.jpg
Business Bay,Business Bay,Global Bay View 2 & 3,Under development (Cancelled),https://propsearch.ae/dubai/global-bay-view-2-3,"25°11 9.9""N 55°17 0.1""E",,Arkiplan Consulting Architects & Engineers,,Multi-building complex,Business Bay,Under development,Cancelled,,,,,2008,update September 2017,https://static.propsearch.ae/photos/dubai/buildings/global-bay-view-2--3-10810_xl.jpg
Business Bay,Business Bay,Boris Becker Business Tower,Under development (Cancelled),https://propsearch.ae/dubai/boris-becker-business-tower,"25°11 2.3""N 55°16 49.9""E",ACI Real Estate,Heerim Architects & Planners,Conser Consulting Engineers,Office building,Business Bay,Under development,Cancelled,23,High-rise building,2008,2009,,update November 2015,https://static.propsearch.ae/photos/dubai/buildings/boris-becker-business-tower-5371_xl.jpg
Business Bay,Business Bay,Bristol Towers,Under development (Cancelled),https://propsearch.ae/dubai/bristol-towers,"25°10 48.5""N 55°15 49.6""E",,,,Multi-building complex,Business Bay,Under development,Cancelled,,,,,2008,,
Business Bay,Business Bay,Waves Tower Business Bay,Under development (Cancelled),https://propsearch.ae/dubai/waves-tower-business-bay,"25°11 1.1""N 55°17 1.9""E",M.Shahnaz Balegh Masr Kanlo,,Arab Experts Engineering Consultants,Residential building,Business Bay,Under development,Cancelled,21,High-rise building,2008,,,update September 2017,https://static.propsearch.ae/photos/dubai/buildings/waves-tower-business-bay-10752_xl.jpg
