area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,engineering_consultant,location_type,area_propsearch,phase,status,floors,building_type,total_units,unit_types,date_launched,revised_estimated_handover_date,construction_started,estimated_handover_date,caption,photo_url
Sports City,Sports City,Zenith Tower A3,Under development (Cancelled),https://propsearch.ae/dubai/zenith-tower-a3,"25°2 29""N 55°13 21.7""E",Zenith Real Estate Development LLC,,,,Residential building,Sports City,Under development,Cancelled,22,High-rise building,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/zenith-tower-a3-2445_xl.jpg
Sports City,Sports City,German Sports Tower 2,Under development (Cancelled),https://propsearch.ae/dubai/german-sports-tower-2,"25°2 28.9""N 55°13 10.6""E",UniEstate,,,,Residential building,Sports City,Under development,Cancelled,18,High-rise building,,,,,,,,
Sports City,Sports City,Classic Soccer Tower,Under development (Cancelled),https://propsearch.ae/dubai/classic-soccer-tower,"25°2 21.7""N 55°13 2.4""E",New World Development,Next Engineering Consultants,Widewall Construction,,Residential building,Sports City,Under development,Cancelled,16,High-rise building,266,StudiosOne-bedroom apartmentsTwo-bedroom apartments,2007,December 2016,2014,,update August 2020,https://static.propsearch.ae/dubai-locations/classic-soccer-tower-22729_xl.jpg
Sports City,Sports City,Chess Tower,Under development (Cancelled),https://propsearch.ae/dubai/chess-tower,"25°2 9.4""N 55°13 16.1""E",Almasah International Real Estate,In & Edit Architecture,,,Residential building,Sports City,Under development,Cancelled,15,High-rise building,140,StudiosOne-bedroom apartmentsTwo-bedroom apartments,2008,,2009,,update August 2020,https://static.propsearch.ae/dubai-locations/chess-tower-22737_xl.jpg
Sports City,Sports City,Sports City Symphony Tower 1,Under development (Cancelled),https://propsearch.ae/dubai/sports-city-symphony-tower-1,,,,,,Residential building,Sports City,Under development,Cancelled,12,High-rise building,,,,,2006,,,
Sports City,Sports City,Sports City Symphony Tower 2,Under development (Cancelled),https://propsearch.ae/dubai/sports-city-symphony-tower-2,,,,,,Residential building,Sports City,Under development,Cancelled,12,High-rise building,,,,,2006,,,
Sports City,Sports City,Sports City Symphony Tower 3,Under development (Cancelled),https://propsearch.ae/dubai/sports-city-symphony-tower-3,,,,,,Residential building,Sports City,Under development,Cancelled,12,High-rise building,,,,,2006,,,
Sports City,Sports City,Universal Tower,Under development (Cancelled),https://propsearch.ae/dubai/universal-tower,"25°2 0.8""N 55°13 33.8""E",Real Estate Development LLC,Abdul Rahim Architectural Consultants,,M3ar Consulting Engineers,Residential building,Sports City,Under development,Cancelled,15,High-rise building,298,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsDuplexes,2007,,,,update August 2020,https://static.propsearch.ae/dubai-locations/universal-tower-22744_xl.jpg
Sports City,Sports City,Shami Sports Tower,Under development (Cancelled),https://propsearch.ae/dubai/shami-sports-tower,"25°2 5.5""N 55°13 23.6""E",Brookes Corporation,,,,Residential building,Sports City,Under development,Cancelled,24,High-rise building,,,2008,,,2010,update - soil testing - November 2015,https://static.propsearch.ae/photos/dubai/buildings/shami-sports-tower-5573_xl.jpg
Sports City,Sports City,Rufi Waterfront Residency,Under development (Cancelled),https://propsearch.ae/dubai/rufi-waterfront-residency,"25°1 59.2""N 55°13 30.8""E",,,,,Residential building,Sports City,Under development,Cancelled,17,High-rise building,288,,2008,,2009,,update August 2020,https://static.propsearch.ae/dubai-locations/rufi-waterfront-residency-22745_xl.jpg
Sports City,Sports City,Rufi Century Tower,Under development (Cancelled),https://propsearch.ae/dubai/rufi-century-tower,"25°2 36""N 55°13 2.1""E",Rufi Real Estate & Construction Co. LLC,,,,Residential building,Sports City,Under development,Cancelled,28,Skyscraper,402,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,,,,,
Sports City,Sports City,Rufi Golf Greens,Under development (Cancelled),https://propsearch.ae/dubai/rufi-golf-greens,"25°2 15.5""N 55°12 18.2""E",Rufi Real Estate & Construction Co. LLC,Next Engineering Consultants,,,Residential building,Sports City,Under development,Cancelled,19,High-rise building,196,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,2008,,2009,,update August 2020,https://static.propsearch.ae/dubai-locations/rufi-golf-greens-22707_xl.jpg
Sports City,Sports City,Rufi Park View,Under development (Cancelled),https://propsearch.ae/dubai/rufi-park-view,"25°1 58.5""N 55°13 26.6""E",Rufi Real Estate & Construction Co. LLC,Next Engineering Consultants,,,Residential building,Sports City,Under development,Cancelled,16,High-rise building,184,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsPenthouses,2007,,2009,,update August 2020,https://static.propsearch.ae/dubai-locations/rufi-park-view-22743_xl.jpg
Sports City,Sports City,Rufi Twin Towers,Under development (Cancelled),https://propsearch.ae/dubai/rufi-twin-towers,"25°1 56.5""N 55°13 31.3""E",Rufi Real Estate & Construction Co. LLC,Arenco Architectural & Engineering Consultants,,,Multi-building complex,Sports City,Under development,Cancelled,,,535,,2007,,2008,,update August 2020,https://static.propsearch.ae/dubai-locations/rufi-twin-towers-22746_xl.jpg
Sports City,Sports City,Sama World Tower,Under development (Cancelled),https://propsearch.ae/dubai/sama-world-tower,"25°2 25.7""N 55°13 20.4""E",Sama Emirates Real Estate,Engineering Consultants Group,,,Office building,Sports City,Under development,Cancelled,24,High-rise building,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/sama-world-tower-2434_xl.jpg
