area,sub_area,project,status,url,coordinates,architectural_consultant,contractor,piling_contractor,developer,project_manager,cost_consultant,owner,engineering_consultant,mep_consultant,location_type,area_propsearch,phase,floors,floors_below_ground,height,building_type,total_units,unit_types,date_launched,estimated_handover_date,revised_estimated_handover_date,construction_started,date_completed,caption,photo_url
Downtown,Downtown Dubai,Imperial Avenue,Under development,https://propsearch.ae/dubai/imperial-avenue,"25°11 17.8""N 55°16 26.4""E",Archon Consultants,Shapoorji Pallonji,Bauer International,,,,,,,Residential building,Downtown Dubai,Under development,,,,,,,September 2016,,,,,update May 2021,https://static.propsearch.ae/dubai-locations/imperial-avenue-28619_xl.jpg
Downtown,The Opera District,Il Primo,Under development,https://propsearch.ae/dubai/il-primo,"25°11 47.1""N 55°16 19.4""E",WSP Parsons Brinckerhoff,TAV Construction,International Foundation Group,Emaar Properties,Mace,Aecom,,,,Residential building,The Opera District,Under development,77,6,"340 metres (1,115 feet)",Supertall skyscraper,116,Four-bedroom apartmentsFive-bedroom apartments,May 2016,September 2020,August 2021,2017,,update January 2021,https://static.propsearch.ae/dubai-locations/il-primo-26706_xl.jpg
Downtown,Downtown Dubai,HL Group Hotel,Under development,https://propsearch.ae/dubai/hl-group-hotel,"25°11 38.5""N 55°17 7.4""E",Alajmi Engineering Consultants,,Stromek Emirates Foundations,Hussain Lootah Group,,,,,,Hotel,Downtown Dubai,Under development,32,2,,Skyscraper,,,,,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/hl-group-hotel-28589_xl.jpg
Downtown,The Opera District,Grande at The Opera District,Under development,https://propsearch.ae/dubai/grande-at-the-opera-district,"25°11 41""N 55°16 17.9""E",WSP Parsons Brinckerhoff,China State Construction Engineering Corporation,Universal Piling Foundation LLC,Emaar Properties,Mace,,,,,Residential building,The Opera District,Under development,78,,,Supertall skyscraper,,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,May 2018,June 2022,,,,update May 2021,https://static.propsearch.ae/dubai-locations/grande-at-the-opera-district-28646_xl.jpg
Downtown,Downtown Dubai,Forte,Under development,https://propsearch.ae/dubai/forte,"25°11 44.1""N 55°16 9.1""E",Aecom,Target Engineering Construction Company,,Emaar Properties,,,,,,Multi-building complex,Downtown Dubai,Under development,,,,,,,May 2015,,,2016,,update May 2021,https://static.propsearch.ae/dubai-locations/forte-28640_xl.jpg
Downtown,Downtown Dubai,The Dubai Edition,Under development,https://propsearch.ae/dubai/the-dubai-edition,"25°11 31.7""N 55°16 50.8""E",LW Design Group,,,Sol Properties Development LLC,,,Jarvis Corporation Limited,,,Hotel,Downtown Dubai,Under development,24,,,High-rise building,258,,2015,,,2015,,update May 2021,https://static.propsearch.ae/dubai-locations/the-dubai-edition-28580_xl.jpg
Downtown,The Opera District,The Address Residences Dubai Opera,Under development,https://propsearch.ae/dubai/the-address-residences-dubai-opera,"25°11 50.2""N 55°16 18.1""E",Yazdani Studio,TAV Construction,,Emaar Properties,Mace,Cumming Corporation,,,,Multi-building complex,The Opera District,Under development,,,,,809,,November 2015,July 2020,March 2022,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/the-address-residences-dubai-opera-28645_xl.jpg
Downtown,The Opera District,Opera Grand,Under development,https://propsearch.ae/dubai/opera-grand,"25°11 36.9""N 55°16 16""E",Khatib & Alami,Consolidated Contractors Company,International Foundation Group,Emaar Properties,Holfords Associates,Aecom,,,,Residential building,The Opera District,Under development,71,4,288 metres (945 feet),Skyscraper,200,Two-bedroom apartmentsThree-bedroom apartmentsFour-bedroom apartments,,,,2015,,update May 2021,https://static.propsearch.ae/dubai-locations/opera-grand-28648_xl.jpg
Downtown,Downtown Dubai,Elite Downtown Residences,Under development,https://propsearch.ae/dubai/elite-downtown-residences,"25°11 9.6""N 55°16 41.2""E",Barajeel Engineering Consultants,,TMF Euro Foundations,Triplanet Range Investments Ltd,,,,,,Residential building,Downtown Dubai,Under development,29,,,Skyscraper,,,2015,,,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/elite-downtown-residences-28615_xl.jpg
Downtown,Downtown Dubai,Al Hikma Tower,Under development,https://propsearch.ae/dubai/al-hikma-tower,"25°11 57.4""N 55°16 5.6""E",Arex Engineering Consultants,,,,,,,,,Office building,Downtown Dubai,Under development,62,,,Skyscraper,,,,,,2006,,update July 2020,https://static.propsearch.ae/dubai-locations/al-hikma-tower-22214_xl.jpg
Downtown,The Opera District,Vida Residences Dubai Opera,Under development,https://propsearch.ae/dubai/vida-residences-dubai-opera,"25°11 41.7""N 55°16 14.7""E",KEO International Consultants,China State Construction Engineering Corporation,Universal Piling Foundation LLC,Emaar Hospitality Group,Mace,Turner & Townsend,,,,Multi-building complex,The Opera District,Under development,,,,,,,2017,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/vida-residences-dubai-opera-26933_xl.jpg
Downtown,The Opera District,Act Towers,Under development,https://propsearch.ae/dubai/act-towers,"25°11 34""N 55°16 17.3""E",Perkins Eastman,China State Construction Engineering Corporation,NSCC International,Emaar Properties,Mace,Aecom,,,,Multi-building complex,The Opera District,Under development,,,,,,,July 2016,,,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/act-towers-28647_xl.jpg
Downtown,Downtown Dubai,Vida Residences Dubai Mall,Under development,https://propsearch.ae/dubai/vida-residences-dubai-mall,"25°11 47.3""N 55°17 1.4""E",WSP Parsons Brinckerhoff,Shapoorji Pallonji,,Emaar Hospitality Group,Morganati,Rider Levett Bucknall,,,,Multi-building complex,Downtown Dubai,Under development,,,,,,,May 2017,October 2021,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/vida-residences-dubai-mall-28586_xl.jpg
Downtown,Downtown Dubai,DT1,Under development,https://propsearch.ae/dubai/dt1,"25°11 29.6""N 55°16 10""E",LACASA Architects & Engineering Consultants,Target Engineering Construction Company,,Ellington Properties Development LLC,,,,,,Residential building,Downtown Dubai,Under development,17,,72 metres (236 feet),High-rise building,,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsFour-bedroom apartmentsPenthouses,2015,,,2016,February 2021,update January 2021,https://static.propsearch.ae/dubai-locations/dt1-26549_xl.jpg
Downtown,Downtown Dubai,Downtown Views II,Under development,https://propsearch.ae/dubai/downtown-views-ii,"25°12 8""N 55°16 51.4""E",Archgroup Consultants,China State Construction Engineering Corporation,International Foundation Group,Emaar Properties,,,,WME Consultants,,Multi-building complex,Downtown Dubai,Under development,,,,,,,January 2017,December 2020,,,,update January 2021,https://static.propsearch.ae/dubai-locations/downtown-views-ii-26717_xl.jpg
Downtown,Downtown Dubai,Downtown Views,Under development,https://propsearch.ae/dubai/downtown-views,"25°12 3.5""N 55°16 51.1""E",Innovative Engineering Consultatnts,Al Basti & Muktah LLC,,Emaar Properties,,,,,,Residential building,Downtown Dubai,Under development,59,,,Skyscraper,,,,,,2015,,update January 2021,https://static.propsearch.ae/dubai-locations/downtown-views-26719_xl.jpg
Downtown,Downtown Dubai,Burj Royale,Under development,https://propsearch.ae/dubai/burj-royale,"25°11 29.9""N 55°16 49""E",U+A Architects,Al Furjan Contracting,International Foundation Group,Emaar Properties,,,,,Menasco,Residential building,Downtown Dubai,Under development,58,1,,Skyscraper,,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,November 2018,,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/burj-royale-28579_xl.jpg
Downtown,Downtown Dubai,Bellevue Towers,Under development,https://propsearch.ae/dubai/bellevue-towers,"25°11 14.6""N 55°16 31.6""E",,,,Dubai Properties Group,,,,,,Multi-building complex,Downtown Dubai,Under development,,,,,,,May 2016,Q4 2019,,,,update May 2021,https://static.propsearch.ae/dubai-locations/bellevue-towers-28616_xl.jpg
