area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,master_developer,project_manager,owner,financier,piling_contractor,location_type,area_propsearch,phase,total_units,floors,building_type,unit_types,floors_below_ground,date_launched,estimated_handover_date,revised_estimated_handover_date,construction_started,caption,photo_url
Sobha Hartland,Sobha Hartland,Wilton Terraces 1,Under development,https://propsearch.ae/dubai/wilton-terraces-1,"25°10 41.5""N 55°18 36.6""E",Ellington Properties Development LLC,Perkins & Will,Aroma International Building Contractors,,,,,,Multi-building complex,Sobha Hartland,Under development,140,,,,,October 2017,,,,update January 2021,https://static.propsearch.ae/dubai-locations/wilton-terraces-1-26594_xl.jpg
Sobha Hartland,Sobha Hartland,Wilton Park Residences,Under development,https://propsearch.ae/dubai/wilton-park-residences,"25°10 42.3""N 55°18 41.5""E",Ellington Properties Development LLC,Dubai Consultants,Aroma International Building Contractors,Sobha Realty,Allied Contracting,,,,Residential building,Sobha Hartland,Under development,320,15,High-rise building,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,June 2019,Q2 2021,,,update January 2021,https://static.propsearch.ae/dubai-locations/wilton-park-residences-26617_xl.jpg
Sobha Hartland,Sobha Hartland,The Terraces,Under development,https://propsearch.ae/dubai/the-terraces,"25°10 38.2""N 55°18 41.8""E",Boston Real Estate Development,Omar Moujaes,,,,,,,Multi-building complex,Sobha Hartland,Under development,,,,,,Q1 2018,2020,,,site signboard,https://static.propsearch.ae/dubai-locations/the-terraces-26590_xl.jpg
Sobha Hartland,Sobha Hartland Greens,Sobha Hartland Greens 6,Under development,https://propsearch.ae/dubai/sobha-hartland-greens-6,"25°10 40.5""N 55°18 34.5""E",Sobha Realty,,,,,,,,Residential building,Sobha Hartland Greens,Under development,,15,High-rise building,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,June 2017,October 2019,2021,,update January 2021,https://static.propsearch.ae/dubai-locations/sobha-hartland-greens-6-26597_xl.jpg
Sobha Hartland,Sobha Hartland Greens,Sobha Hartland Greens 5,Under development,https://propsearch.ae/dubai/sobha-hartland-greens-5,"25°10 40.1""N 55°18 32.2""E",Sobha Realty,PNC Architects,Sobha Contracting LLC,,,,,,Residential building,Sobha Hartland Greens,Under development,,,,,,June 2017,October 2019,2021,,update January 2021,https://static.propsearch.ae/dubai-locations/sobha-hartland-greens-5-26818_xl.jpg
Sobha Hartland,Sobha Hartland,Kensington Waters,Under development,https://propsearch.ae/dubai/kensington-waters,"25°10 39.1""N 55°18 44.4""E",Ellington Properties Development LLC,Perkins & Will,,,,,,,Multi-building complex,Sobha Hartland,Under development,277,,,,1,June 2021,Q4 2023,,,"Wilton Terraces 2, undeveloped plot.",https://static.propsearch.ae/dubai-locations/wilton-terraces-2-26588_xl.jpg
Sobha Hartland,Sobha Hartland,One Park Avenue,Under development,https://propsearch.ae/dubai/one-park-avenue,"25°10 43.3""N 55°18 32.1""E",Sobha Realty,PNC Architects,Sobha Contracting LLC,,,,,,Residential building,Sobha Hartland,Under development,403,28,Skyscraper,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsFour-bedroom apartments,,June 2019,April 2023,,2019,update January 2021,https://static.propsearch.ae/dubai-locations/one-park-avenue-26603_xl.jpg
Sobha Hartland,Sobha Hartland,Hartland Waves,Under development,https://propsearch.ae/dubai/hartland-waves,"25°10 31.2""N 55°18 34.2""E",Sobha Realty,,,,,,,,Residential building,Sobha Hartland,Under development,,36,Skyscraper,One-bedroom apartmentsTwo-bedroom apartments,,May 2021,,,,,
Sobha Hartland,Sobha Hartland,Aryana Hotel,Under development,https://propsearch.ae/dubai/aryana-hotel,"25°10 44.5""N 55°18 35.5""E",Alsheraifi Group,Arenco Architectural & Engineering Consultants,Gulf Asia Contracting,,,Nasser Maktoum Al Sheraifi,,,Hotel,Sobha Hartland,Under development,,33,Skyscraper,,1,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/aryana-hotel-26616_xl.jpg
Sobha Hartland,Sobha Hartland,Sobha Creek Vistas,Under development,https://propsearch.ae/dubai/sobha-creek-vistas,"25°10 47.5""N 55°18 19.3""E",Sobha Realty,PNC Architects,,,,,PNC Investments,National Piling Company,Multi-building complex,Sobha Hartland,Under development,,,,,,May 2018,December 2020,Q3 2021,,update January 2021,https://static.propsearch.ae/dubai-locations/sobha-creek-vistas-26825_xl.jpg
Sobha Hartland,Sobha Hartland,Creek Vistas Reservé,Under development,https://propsearch.ae/dubai/creek-vistas-reserve,"25°10 47.3""N 55°18 15.7""E",Sobha Investments,PNC Architects,Sobha Contracting LLC,,,,,,Multi-building complex,Sobha Hartland,Under development,,,,,,2019,Q1 2023,,,update January 2021,https://static.propsearch.ae/dubai-locations/creek-vistas-reserve-26609_xl.jpg
